Destination ID,Attraction,Restaurant_Name      ,Location        ,Rating        , Price Range ,Province
635,Saramthali,No,No,No,No,3
635,Saramthali,No,No,No,No,3
636,Doglang,No,No,No,No,3
636,Doglang,No,No,No,No,3
636,Doglang,No,No,No,No,3
637,Old Langtang Village,No,No,No,No,3
637,Old Langtang Village,No,No,No,No,3
637,Old Langtang Village,No,No,No,No,3
638,Tsangbu Ri,No,No,No,No,3
638,Tsangbu Ri,No,No,No,No,3
638,Tsangbu Ri,No,No,No,No,3
639,Raksirang,No,No,No,No,3
639,Raksirang,No,No,No,No,3
639,Raksirang,No,No,No,No,3
640,Bharta Pundyadevi,No,No,No,No,3
640,Bharta Pundyadevi,No,No,No,No,3
640,Bharta Pundyadevi,No,No,No,No,3
641,Gogane,No,No,No,No,3
641,Gogane,No,No,No,No,3
641,Gogane,No,No,No,No,3
642,Agara,No,No,No,No,3
642,Agara,No,No,No,No,3
642,Agara,No,No,No,No,3
643,Tasarpu,No,No,No,No,3
643,Tasarpu,No,No,No,No,3
643,Tasarpu,No,No,No,No,3
644,Kewalpur,No,No,No,No,3
644,Kewalpur,No,No,No,No,3
644,Kewalpur,No,No,No,No,3
645,Jeewanpur,No,No,No,No,3
645,Jeewanpur,No,No,No,No,3
645,Jeewanpur,No,No,No,No,3
646,Chhatre Deurali,No,No,No,No,3
646,Chhatre Deurali,No,No,No,No,3
646,Chhatre Deurali,No,No,No,No,3
647,Mudkhu,No,No,No,No,3
647,Mudkhu,No,No,No,No,3
647,Mudkhu,No,No,No,No,3
648,Okharpauwa,No,No,No,No,3
648,Okharpauwa,No,No,No,No,3
648,Okharpauwa,No,No,No,No,3
649,Kakani,No,No,No,No,3
649,Kakani,No,No,No,No,3
649,Kakani,No,No,No,No,3
650,Bhadratar,No,No,No,No,3
650,Bhadratar,No,No,No,No,3
650,Bhadratar,No,No,No,No,3
651,Kharanitar,No,No,No,No,3
651,Kharanitar,No,No,No,No,3
651,Kharanitar,No,No,No,No,3
652,Likhu,No,No,No,No,3
652,Likhu,No,No,No,No,3
652,Likhu,No,No,No,No,3
653,Talakhu,No,No,No,No,3
653,Talakhu,No,No,No,No,3
653,Talakhu,No,No,No,No,3
654,Gajuri,No,No,No,No,3
654,Gajuri,No,No,No,No,3
654,Gajuri,No,No,No,No,3
655,Chuwabote Gaun,No,No,No,No,3
655,Chuwabote Gaun,No,No,No,No,3
655,Chuwabote Gaun,No,No,No,No,3
656,Jyamrung,No,No,No,No,3
656,Jyamrung,No,No,No,No,3
656,Jyamrung,No,No,No,No,3
657,Katunge,No,No,No,No,3
657,Katunge,No,No,No,No,3
657,Katunge,No,No,No,No,3
658,Gokarneshwor Temple,No,No,No,No,3
658,Gokarneshwor Temple,No,No,No,No,3
